title,genre,rating
Not Another Teen Movie,Comedy,5.8
My Girlfriend's Mother 2,Romance,2.2
Vortex,Drama,7.2
Return of the Living Dead III,Horror,6.6
My Student's Mom,Romance,3.6
The Last of Us: One Night Live,Drama,7.5
Kidnapping Stella,Thriller,5.3
A Fistful of Dollars,Western,7.9
Obscene House: Slave Wife,Romance,1.0
The Marine 3: Homefront,Action,6.3
Hellraiser: Judgment,Horror,5.1
The Blind Side,Drama,7.7
Uncle Frank,Drama,7.4
Schächten,Drama,4.7
H.P. Lovecraft's Witch House,Horror,6.0
The Uninvited,Horror,6.5
Brokedown Palace,Drama,6.4
Lev Yashin. The Dream Goalkeeper,Drama,8.1
Horizon Line,Thriller,5.7
Superior Firepower: Making 'Aliens',Documentary,7.6
Descarrilados,Comedy,5.6
Van Wilder: Freshman Year,Comedy,5.4
My Own Private Idaho,Drama,7.1
Rape Zombie: Lust of the Dead 4,Horror,6.8
The Hours,Drama,7.3
Mickey and Minnie Wish Upon a Christmas,Animation,6.9
Kate,Action,6.7
Mari(dos),Comedy,3.8
The Searchers,Western,7.8
I'll Always Know What You Did Last Summer,Horror,4.3
Chris Rock: Selective Outrage,Comedy,6.2
Trespass,Thriller,5.5
The Ten,Comedy,4.9
Down and Out in Beverly Hills,Comedy,5.9
Porno,Drama,4.6
Children of the Corn IV: The Gathering,Horror,4.4
Orgasm Lecture 2,Drama,10.0
Chasing Mavericks,Drama,7.0
The Pyramid,Horror,5.2
Temptation Summary,Drama,2.5
